tweet,sentiment,date,weekday,hour,followers,description
because they answered you doesnt mean they are prompt when answering others stop the hype and,0,2019-03-06 05:15:05,2.0,5.0,521.0,arab academy alumni  member of the nautical institute  licensed marine officer fc barcelona
because they answered you doesnt mean they are prompt when answering others stop the hype and,0,2019-03-06 05:15:05,2.0,5.0,521.0,arab academy alumni  member of the nautical institute  licensed marine officer fc barcelona
there you have it,0,2019-03-06 05:03:39,2.0,5.0,708.0,without christs mercy my life is messychartered accountant leo arsenal tutor oniabiodun442com
ok i understand and i also have some questions to ask about an account my dad opened for me and my sibli,0,2019-03-06 05:01:35,2.0,5.0,1949.0,am a blogger pr and also a music producer
i have not been able to use my first bank application the response  i got is network error which is not,1,2019-03-06 04:34:43,2.0,4.0,14.0,principal consultant  green consulting
i recharged a number i was debited but the transaction was not a successful one can i be refunded as soon as possible,1,2019-03-06 04:26:56,2.0,4.0,80.0,avid reader  food lover  libra  selective introvert  movie addict  comedy fanatic
thanks   ive confirmed it,0,2019-03-06 03:52:49,2.0,3.0,45.0,in  world of so many im  untamed one
pls is it possible to reactivate my dormant acct online perhaps whats d way to,0,2019-03-06 02:27:36,2.0,2.0,75.0,a september born
i was charged for over 8 times for nip fees for a transfer that didnt go through,1,2019-03-06 02:21:59,2.0,2.0,154.0,certified physicist computer programmer  manger of blessed fc on top eleven
i have already gotten an email by you guys with the my token serial number fully activated please can i,0,2019-03-06 01:26:10,2.0,1.0,13.0,cool dude
i was trying to recharge my airtel line via the firstbank mobile app my account was debited but i didnt,1,2019-03-06 01:04:22,2.0,1.0,61.0,loves  life hates evil
you can visit a physical branch maybe this might help,0,2019-03-06 00:35:35,2.0,0.0,1164.0,medic  diabetes advocate  speaker nation builder  god lover youll never meet another me
it was rectified the following day before i woke up,0,2019-03-06 00:27:20,2.0,0.0,522.0,meaning of life there is none u define it call  whatsapp  07032088987
you havent rectify my complaint yet,0,2019-03-05 23:38:25,1.0,23.0,140.0,quantity surveyorc4n1815 lover
