text,date,weekday,hour,coordinates,screen_name,followers,description
dear       bank is deducting ppls money and not crediting it on customer,2019-03-03 07:46:55,6.0,7.0,,AuduLuqman,35.0,strongly determined to make money
we are on it,2019-03-03 07:46:44,6.0,7.0,,segalink,146978.0,i think listen observe  know things generate disseminate  preserve knowledge likes  rts not endorsement  siaf  civilrights  endsars  institutionalreform
may i know if s issue has been sorted,2019-03-03 07:44:50,6.0,7.0,,yemi2003,403.0,original products phones wristwatches only are what we deal  in your smile is what we work for pay on delivery is available
does  know how how very useless  is    deducting ppls money and taking 3 weeks to reverse,2019-03-03 07:23:14,6.0,7.0,,AuduLuqman,35.0,strongly determined to make money
you are mad aswear,2019-03-03 07:21:44,6.0,7.0,,nwa_anambra,891.0,husband father political scientist environmental consultant manufactures rep for floor and wall tiles wc and sanitary wares
hello  kindly send us a dm with your phone number to enable us address accordingly  fidelitycares,2019-03-03 07:17:34,6.0,7.0,,fidelitybankplc,151628.0,welcome to the official page of fidelity bank we are here to make financial services easy and accessible to you for help email  trueserveng
what kind of a very very useless bank is   everytime i try 2 mk a recharge frm my acc,2019-03-03 07:17:04,6.0,7.0,,AuduLuqman,35.0,strongly determined to make money
please tell   to pay my 10000 fine for refusing to revert my 800 since novem,2019-03-03 07:16:47,6.0,7.0,,Goodgrief_IXI,981.0,it consultant support safe order and delivery best gadget shop solution managers ceo syksoft interactive lover of god out  a believer of positivity
hello  thank you for bringing this to our attention we apologize for all inconven,2019-03-03 06:44:23,6.0,6.0,,fidelitybankplc,151628.0,welcome to the official page of fidelity bank we are here to make financial services easy and accessible to you for help email  trueserveng
bros pmb has failed if youre really concerned about a better nigeria for,2019-03-03 06:39:43,6.0,6.0,,OkonkwoPerez,507.0,social analyst idealist and a possibilistyou wont find me interesting if you dont cherish knowledge and selfthinking
under buhari we moved from rivers of blood to akwa ibom n lagos of blood,2019-03-03 06:33:31,6.0,6.0,,OkonkwoPerez,507.0,social analyst idealist and a possibilistyou wont find me interesting if you dont cherish knowledge and selfthinking
abba kyari scandal maina scandal babachir scandal idp scandal took fund,2019-03-03 06:29:58,6.0,6.0,,OkonkwoPerez,507.0,social analyst idealist and a possibilistyou wont find me interesting if you dont cherish knowledge and selfthinking
during gej tenure some states were won by opposition parties how many stat,2019-03-03 06:26:17,6.0,6.0,,OkonkwoPerez,507.0,social analyst idealist and a possibilistyou wont find me interesting if you dont cherish knowledge and selfthinking
